Date,Production & Import Tax (B),Corporate Income Tax (B),Personal Income Tax (B),Taxes from ROW (B),Total Tax Receipts (B),Sum Known Components,Other Taxes (B),Personal Income Tax (%),Corporate Income Tax (%),Production & Import Tax (%),Taxes from ROW (%),Other Taxes (%)
1985-10-01,11.367,58.98,345.182,2.1904277651176454,451.882,417.7194277651177,34.162572234882305,76.38764102132858,13.052079967779198,2.5154797048787074,0.48473445835807694,7.560064847655429
1986-01-01,10.896,63.008,341.825,1.517330346042633,450.793,417.2463303460426,33.546669653957395,75.82748622982166,13.977146938838892,2.417073911972901,0.336591372546298,7.441701546820247
1986-04-01,10.688,63.432,344.405,1.6427917268791197,452.337,420.1677917268791,32.16920827312089,76.13902908672074,14.023172988280862,2.3628400948850086,0.3631787200426053,7.111779110070786
1986-07-01,11.151,64.56,351.973,1.7256253185615542,462.097,429.40962531856155,32.68737468143843,76.16863991759305,13.97109264937881,2.4131297108615724,0.373433568831123,7.073704153335432
1986-10-01,10.963,73.088,364.201,2.0960953182792665,482.909,450.34809531827926,32.56090468172073,75.41814296275282,15.134942608234677,2.270199975564754,0.4340559646391487,6.742658488808602
1987-01-01,10.898,76.035,358.341,1.76838201953125,480.364,447.04238201953126,33.321617980468716,74.59780499787662,15.828621628598313,2.2686962386856635,0.36813375263992515,6.936743382199481
1987-04-01,11.196,87.267,410.213,1.9232917308006285,545.316,510.5992917308007,34.71670826919933,75.22482377190472,16.003014765750496,2.0531214928591863,0.35269306801939215,6.366346901466183
1987-07-01,11.886,91.347,394.853,1.9071096018867493,534.536,499.9931096018868,34.54289039811317,73.86836433841688,17.08902674469072,2.2236107577412936,0.356778514802885,6.462219644348215
1987-10-01,11.96,87.146,408.541,2.364503831123352,545.447,510.0115038311233,35.43549616887668,74.90021945303576,15.97698768166293,2.1926969989751526,0.4334983657666743,6.496597500559482
1988-01-01,12.229,84.535,402.645,2.0412366338920593,538.868,501.450236633892,37.41776336610803,74.72052524922614,15.687515309871802,2.2693869370606525,0.3788008629000162,6.943771640941386
1988-04-01,12.598,90.048,400.585,2.4297745863990787,542.697,505.6607745863991,37.0362254136009,73.81374874008884,16.5926843155573,2.3213690143855596,0.44772213341866246,6.824475796549622
1988-07-01,12.44,97.763,402.529,2.2918646485519414,552.924,515.023864648552,37.90013535144794,72.80005932099168,17.681091795617483,2.2498571232212745,0.41449903577199426,6.854492724397557
1988-10-01,12.56,102.702,409.621,2.422431018112183,564.743,527.3054310181121,37.43756898188792,72.53228459671035,18.185617174537796,2.2240204836536264,0.428943965327978,6.629133779770252
1989-01-01,13.137,104.886,439.507,2.611599903873444,598.209,560.1415999038734,38.06740009612656,73.47047603763903,17.53333701097777,2.196055224846166,0.436569811533,6.363561915004048
1989-04-01,12.409,94.438,448.427,2.4220020084228517,594.565,557.6960020084229,36.8689979915772,75.42102209178138,15.883545112813568,2.0870720610866766,0.4073569766842736,6.201003757634102
1989-07-01,11.805,91.577,457.067,2.5685801727333075,601.42,563.0175801727332,38.402419827266726,75.99797146752685,15.226796581423965,1.9628545774999169,0.4270859254320288,6.385291448117244
